Site_ID,Sed,Site,Nom_Treat,Rep,Sed_Cu,Sed_Ni,Ameletidae,Athericidae,Baetidae,Brachycentridae,Capniidae,Ceratopogonidae,Chironomidae,Cordulegastridae,Elmidae,Enchytraeidae,Ephemerellidae,Erpobdellidae,Glossosomatidae,Goeridae,Heptageniidae,Hydropsychidae,Hygrobatidae,Lebertiidae,Lepidostomatidae,Leptoceridae,Leptophlebiidae,Leuctridae,Libellulidae,Limnephilidae,Limnesiidae,Lumbricidae,Lumbriculidae,Mideopsidae,Molannidae,Naididae,Nemata,Nemouridae,Perlodidae,Phryganeidae,Pisidiidae,Polycentropodidae,Psychodidae,Psychomyiidae,Rhyacophilidae,Sialidae,Sperchonidae,Tabanidae,Tipulidae,Abundance,Richness,H_div,D_div,EPT_Ab
UP-2-AC-MED-28D-A,LB,Salmon-Trout,3-Med,A,125.9,107.4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,22,2,0.69,0.5,0
UP-2-AC-MED-28D-B,LB,Salmon-Trout,3-Med,B,125.9,107.4,0,0,0,0,2,11,64,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,91,11,1.16,0.49,5
UP-2-AC-MED-28D-C,LB,Salmon-Trout,3-Med,C,125.9,107.4,0,0,0,0,1,10,72,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,2,0,1,1,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,1,101,14,1.21,0.48,6
UP-2-AC-HIGH-28D-A,LB,Salmon-Trout,4-High,A,181.7,140.5,0,0,0,0,0,4,16,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,38,9,1.75,0.76,3
UP-2-AC-HIGH-28D-B,LB,Salmon-Trout,4-High,B,181.7,140.5,0,0,1,0,0,10,51,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,77,9,1.21,0.53,8
UP-2-AC-HIGH-28D-C,LB,Salmon-Trout,4-High,C,181.7,140.5,0,0,0,0,2,9,101,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,125,9,0.84,0.34,5
UP-2-ST-REF-28D-A,HB,Salmon-Trout,1-Ref,A,9,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UP-2-ST-REF-28D-B,HB,Salmon-Trout,1-Ref,B,9,2.5,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,5,0.81,0.38,2
UP-2-ST-REF-28D-C,HB,Salmon-Trout,1-Ref,C,9,2.5,0,0,0,0,0,2,32,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,6,0.68,0.29,3
UP-2-ST-LOW-28D-A,HB,Salmon-Trout,2-Low,A,101,98.5,0,0,0,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,45,5,0.76,0.35,1
UP-2-ST-LOW-28D-B,HB,Salmon-Trout,2-Low,B,101,98.5,0,0,1,0,0,2,63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,74,7,0.68,0.27,4
UP-2-ST-LOW-28D-C,HB,Salmon-Trout,2-Low,C,101,98.5,0,0,1,0,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,55,10,0.87,0.33,6
UP-2-ST-MED-28D-A,HB,Salmon-Trout,3-Med,A,150.7,137.4,0,0,0,1,0,1,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,0.97,0.44,4
UP-2-ST-MED-28D-B,HB,Salmon-Trout,3-Med,B,150.7,137.4,1,0,0,0,0,9,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,5,0.45,0.21,2
UP-2-ST-MED-28D-C,HB,Salmon-Trout,3-Med,C,150.7,137.4,0,0,0,0,0,9,48,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,63,7,0.86,0.4,2
UP-2-ST-HIGH-28D-A,HB,Salmon-Trout,4-High,A,301.5,356.8,0,0,0,0,0,3,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,26,6,0.98,0.45,1
UP-2-ST-HIGH-28D-B,HB,Salmon-Trout,4-High,B,301.5,356.8,0,1,5,0,0,3,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,93,7,0.67,0.27,5
UP-2-ST-HIGH-28D-C,HB,Salmon-Trout,4-High,C,301.5,356.8,0,0,0,0,0,7,66,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83,7,0.82,0.36,8
